calendar_type,date,title,status,priority,days_from_today,days_live,canonical_content_id,content_group,platforms,sales,lifetime_gross,lifetime_net,latest_7_net,mtd_net,ytd_net,net_per_day,first_offered_basis,first_offered_confidence,promo_angle,target_platforms,price_plan,price_tier,test_type,hypothesis,success_metric,notes,source
Released,2023-10-16,Gaining Cheerleader Girlfriend,released,,-1004,1005,Video 0200,Video,ModelCentro,1,17.99,12.14,,12.14,12.14,0.01,master content release date,high,,ModelCentro,,,,,,,content_group_summary
Released,2023-10-18,Witch's Brew,released,,-1002,1003,Video 0201,Video,ManyVids,2,31.97,19.18,,,19.18,0.02,master content release date,high,,ManyVids,,,,,,,content_group_summary
Released,2023-11-10,BBW Struts and Jiggles Out of My Jeans,released,,-979,980,Video 0202,Video,ModelCentro,1,14.99,10.11,,10.11,10.11,0.01,master content release date,high,,ModelCentro,,,,,,,content_group_summary
Released,2023-11-18,Friends With Benefits,released,,-971,972,Video 0203,Video,"ManyVids, ModelCentro",7,112.9,71.09,,10.11,71.09,0.07,master content release date,high,,"ManyVids, ModelCentro",,,,,,,content_group_summary
Released,2023-12-11,Bigger Than You Tease Part 2,released,,-948,949,Video 0206,Video,ManyVids,1,16.98,10.19,,,10.19,0.01,master content release date,high,,ManyVids,,,,,,,content_group_summary
Released,2023-12-17,SSBBW Gets Stuck in the Doorway,released,,-942,943,Video 0207,Video,ManyVids,1,16.98,10.19,,10.19,10.19,0.01,master content release date,high,,ManyVids,,,,,,,content_group_summary
Released,2023-12-27,SSBBW Mrs Claus Lets You Eat Ass and Pussy,released,,-932,933,Video 0208,Video,ManyVids,2,27.97,16.78,,,16.78,0.02,master content release date,high,,ManyVids,,,,,,,content_group_summary
Released,2023-12-29,Morning SSBBW Fuck POV Solo,released,,-930,931,Video 0209,Video,ManyVids,1,16.98,10.19,,,10.19,0.01,master content release date,high,,ManyVids,,,,,,,content_group_summary
Released,2024-02-09,Jiggly Fatty Struts for You,released,,-888,889,Video 0213,Video,Curvage,1,4.99,3.54,,,3.54,0.0,master content release date,high,,Curvage,,,,,,,content_group_summary
Released,2024-03-09,Heavy Hanging Belly,released,,-859,860,Video 0215,Video,ManyVids,3,41.95,25.17,,,25.17,0.03,master content release date,high,,ManyVids,,,,,,,content_group_summary
Released,2024-03-10,Horny SSBBW Succubus Grows for Your Cum POV,released,,-858,859,Video 0216,Video,Curvage,4,80.26,59.43,,,59.43,0.07,master content release date,high,,Curvage,,,,,,,content_group_summary
Released,2024-03-15,Seducing You Into Impregnation,released,,-853,854,Video 0218,Video,ManyVids,3,50.95,30.57,,,30.57,0.04,master content release date,high,,ManyVids,,,,,,,content_group_summary
Released,2024-03-31,Magical Belly Growth and Riding POV,released,,-837,838,Video 0221,Video,ManyVids,2,45.97,27.58,,,27.58,0.03,master content release date,high,,ManyVids,,,,,,,content_group_summary
Released,2024-04-10,Jiggling SSBBW Working Out in Lingerie,released,,-827,828,Video 0224,Video,Curvage,2,37.45,27.68,,9.54,27.68,0.03,master content release date,high,,Curvage,,,,,,,content_group_summary
Released,2024-04-10,Squirting on the First Date,released,,-827,828,Video 0225,Video,ManyVids,3,65.95,39.57,,,39.57,0.05,master content release date,high,,ManyVids,,,,,,,content_group_summary
Released,2024-04-22,Worship My Sweaty Ass,released,,-815,816,Video 0228,Video,ManyVids,2,41.97,25.18,,,25.18,0.03,master content release date,high,,ManyVids,,,,,,,content_group_summary
Released,2024-05-06,Your Wife Accidentally Gains,released,,-801,802,Video 0232,Video,ManyVids,1,21.98,13.19,,,13.19,0.02,master content release date,high,,ManyVids,,,,,,,content_group_summary
Released,2024-05-10,Your Fave Hookup Got Fat,released,,-797,798,Video 0233,Video,Curvage,2,33.98,25.08,,12.54,25.08,0.03,master content release date,high,,Curvage,,,,,,,content_group_summary
Released,2024-05-13,Fucking My Creamy Fat Pussy,released,,-794,795,Video 0234,Video,ManyVids,8,95.87,57.52,,,57.52,0.07,master content release date,high,,ManyVids,,,,,,,content_group_summary
